"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"FYN"	9.23816054673015e-12	-80.1617321403594	0.328	0.443	3.3812591417087e-07	"0"	"FYN"
"CCNH"	1.15855439762589e-11	-20.9420616679869	0.433	0.529	4.24042495075054e-07	"0"	"CCNH"
"NR2F1-AS1"	1.16628005598668e-11	-20.3198252179417	0.214	0.333	4.26870163291683e-07	"0"	"NR2F1-AS1"
"PTPRD"	1.22598969370184e-11	-114.412914771329	0.649	0.689	4.4872448779181e-07	"0"	"PTPRD"
"STK39"	1.28055264952203e-11	-15.4622154548541	0.335	0.452	4.68695075251558e-07	"0"	"STK39"
"THADA"	1.29608124388411e-11	-5.43099808247413	0.129	0.243	4.74378696074024e-07	"0"	"THADA"
"AC093765.3"	1.33303302809388e-11	-33.4150513157666	0.148	0.267	4.87903418612643e-07	"0"	"AC093765.3"
"TTC39C"	1.375163985479e-11	-10.0680235366607	0.022	0.102	5.03323770325169e-07	"0"	"TTC39C"
"TNIK"	1.53745644082565e-11	-72.1055846524922	0.107	0.214	5.62724431906597e-07	"0"	"TNIK"
"SPTBN1"	1.5626930445497e-11	-10.7217898124521	0.359	0.472	5.71961281235636e-07	"0"	"SPTBN1"
"SELENOF"	1.57532192565183e-11	-152.663199837935	0.09	0.194	5.76583578007825e-07	"0"	"SELENOF"
"EXT1"	1.6385195455412e-11	-21.0894915823279	0.178	0.294	5.99714538863536e-07	"0"	"EXT1"
"NFAT5"	1.81764441421582e-11	-11.178394354845	0.352	0.474	6.65276032047134e-07	"0"	"NFAT5"
"ATF7IP"	1.97588024127853e-11	-15.3437144224905	0.239	0.355	7.23191927110356e-07	"0"	"ATF7IP"
"XPR1"	2.15406943050981e-11	-30.5824353712879	0.159	0.277	7.88410952260895e-07	"0"	"XPR1"
"NOVA1"	2.16385494506855e-11	-22.4508524176352	0.446	0.529	7.9199254844454e-07	"0"	"NOVA1"
"PPA2"	2.17996660977845e-11	-8.44477173447175	0.071	0.172	7.97889578845009e-07	"0"	"PPA2"
"AOPEP"	2.24246111271648e-11	-24.0608643931992	0.336	0.449	8.2076319186536e-07	"0"	"AOPEP"
"NCAM1"	2.26143818358053e-11	-28.158648835063	0.496	0.581	8.27708989572312e-07	"0"	"NCAM1"
"CTNND2"	2.33162721786864e-11	-90.831483827276	0.659	0.687	8.53398878012102e-07	"0"	"CTNND2"
"CSNK1G3"	2.33164533216016e-11	-2.65811743877268	0.093	0.2	8.5340550802394e-07	"0"	"CSNK1G3"
