"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CDKAL1"	7.12923139261058e-29	-57.9928285673422	0.353	0.554	2.6093699820094e-24	"0"	"CDKAL1"
"DLGAP1"	7.68714756237584e-29	-144.559393913556	0.844	0.87	2.81357287930518e-24	"0"	"DLGAP1"
"N4BP2L2"	8.62165529976626e-29	-33.8663543417599	0.492	0.65	3.15561205626745e-24	"0"	"N4BP2L2"
"MEIS1"	1.15539923047685e-28	-22.7308482061116	0.363	0.549	4.22887672346833e-24	"0"	"MEIS1"
"AC092957.1"	1.31701252173575e-28	-240.85025244851	0.654	0.768	4.82039753080504e-24	"0"	"AC092957.1"
"DPP6"	1.332776511933e-28	-100.307809055458	0.935	0.908	4.87809531132599e-24	"0"	"DPP6"
"AC007563.2"	1.38783432689627e-28	-35.2531590357943	0.036	0.205	5.07961241987306e-24	"0"	"AC007563.2"
"TNRC6B"	1.40704304167626e-28	-19.4013814999818	0.732	0.849	5.14991823683929e-24	"0"	"TNRC6B"
"RBFOX2"	1.62738381444026e-28	-7.5272670866808	0.562	0.716	5.95638749923281e-24	"0"	"RBFOX2"
"FBXO11"	2.01140123936166e-28	-29.4736961569142	0.422	0.614	7.36192967618762e-24	"0"	"FBXO11"
"NR3C1"	2.30738302654256e-28	-9.34971877131102	0.37	0.57	8.44525261544844e-24	"0"	"NR3C1"
"COP1"	2.66795481073153e-28	-24.6500981359158	0.363	0.556	9.76498140275847e-24	"0"	"COP1"
"DLG2"	4.02304830595333e-28	-80.3716728060462	0.696	0.809	1.47247591046198e-23	"0"	"DLG2"
"BBS9"	4.43971427448361e-28	-19.6983993007614	0.24	0.447	1.62497982160375e-23	"0"	"BBS9"
"WAC"	4.72865825517457e-28	-32.0906969910055	0.571	0.718	1.73073620797645e-23	"0"	"WAC"
"EXOC6"	4.84900243989726e-28	-10.5923975971504	0.22	0.421	1.7747833830268e-23	"0"	"EXOC6"
"HECW2"	5.324776177217e-28	-11.3664005809283	0.377	0.574	1.9489213286232e-23	"0"	"HECW2"
"ZNF644"	5.74853027079160e-28	-7.55123867360551	0.267	0.474	2.10401956441243e-23	"0"	"ZNF644"
